property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_storage,elevator,ac,handicap,has_bars,has_safe_room,has_balcony,is_furnished,is_renovated,price,num_of_images,distance_from_center,link
דירה,הצפון הישן החלק הצפוני,שמעון התרסי 4,1.0,0,23,0,0,12,0,50,4,"הצפון הישן דירה של חדר כ - 23 מטר. משופצת מקסימה איוכתית ויפה. בדירה נשאר: מיטה, מקרר קטן, מיקורגל למכירה: מקרר גדול, טלוויזיה, שולחן, ארון כניסה מידית.",0,0,0,1,0,1,0,0,0,1,4000.0,3,3749.0,https://www.ad.co.il/ad/14809835
דירה,הצפון הישן החלק הצפוני,עובדיה מברטנורה 10,1.5,4,38,0,0,6,0,110,4,"דירת גג חמודה במתחם באזל שקטה - דירה יחידה בקומה ללא שכנים בקרבה לפארק הירקון, דיזנגוף, ים, מסעדות וחניון ציבורי.",0,0,0,0,0,0,0,1,0,0,6900.0,7,3622.0,https://www.ad.co.il/ad/14399889
דירה,הצפון הישן החלק הצפוני,אוסישקין 20,3.0,4,60,0,0,12,0,200,5,"דירה חדשה מקבלן בקומה החדשה של בניין לאחר תמ""א. 3 חדרים: סלון, מטבח, חדר רחצה אחד ושני חדרי שינה. דירה יפהיפיה בסטנדרטים גבוהים. דירה עורפית ושקטה, קומה 4 עם מעלית ברחוב אוסישקין מול פארק הירקון, הנמל וחוף מציצים.",0,0,1,1,1,0,0,0,0,0,9300.0,15,3667.0,https://www.ad.co.il/ad/13271848
סטודיו/לופט,הצפון הישן החלק הצפוני,חבקוק 3,2.0,2,50,0,0,12,0,200,4,"לופט החלומות באזור הכי מבוקש בתל אביב על חוף מציצים, נוף לים 50 מ״ר קומה שנייה+ מעלית ועד 200 ש״ח חניה בתוספת תשלום",0,0,1,1,0,0,0,0,0,1,5500.0,3,4327.0,https://www.ad.co.il/ad/16060360
דירה,הצפון הישן החלק הצפוני,בזל 6,2.0,3,70,0,0,12,0,150,4,"רחוב: בזל הצפון הישן - מתחם בזל דירה של 2 חדרים, כ- 70 מטר,עם יציאה למרפסת שמש להרגש בכפר לחיות בעיר פונה לרחוב שדרות היוצר, שקט ברמה,הכל ירוק ומקסים סלון מרווח עם פינת אוכל מטבח פתוח. חדר שינה עם מזגן וארון. קומה 3 לא מעלית,בניין עם מקלט. כניסה: 6.2.2024",0,0,0,1,0,0,0,1,0,1,6500.0,7,2419.0,https://www.ad.co.il/ad/16067046
דירה,הצפון הישן החלק הצפוני,אוסישקין 33,2.0,3,53,0,0,12,0,200,6,"רחוב: אוסישקין הצפון הישן דירה של 2 חדרים,כ - 53 מטר,משופצת מקסימה איוכתית ויפה. פונה לפארק !! סלון עם פינת אוכל. חדר שינה עם מזגן מקסימה ואיכותית. בניין מטופח ומסודר. קומה 3 ללא מעלית. כניסה: 1.10.2023",0,0,0,1,0,1,0,1,0,1,8000.0,3,3725.0,https://www.ad.co.il/ad/15942798
דירה,הצפון הישן החלק הצפוני,הר נבו  4,2.0,2,70,0,0,12,0,250,4,הצפון הישן דירת 2 חדרים 70 מ״ר עם מרפסת שמש יפה טובלת בירוק ! נוף מדהים ! מוארת ומאווררת מאוד ! מקלחת שרותיים ומטבח משופצים יפה ! דוד שמש. הדירה מושלמת לשותפים או לזוגות ! תאריך כניסה 18/1,0,0,0,1,0,0,0,1,0,0,7250.0,2,2833.0,https://www.ad.co.il/ad/14941177
דירה,הצפון הישן החלק הצפוני,הבשן 6,2.5,2,68,0,0,12,0,200,4,"הצפון הישן דירה של 2.5 חדרים,כ - 68 מטר,משופצת מקסימה איוכתית,פונה לחזית רחוב שקט חצי חדר עם ארון קיר משופצת יפה,מוארת ומסודרת. קומה ראשונה עם מעלית בניין ללא מקלט,ממ""ד. כניסה 1.8",0,0,1,1,0,0,0,0,0,1,8500.0,7,2923.0,https://www.ad.co.il/ad/16190747
דירה,הצפון הישן החלק הצפוני,בן יהודה 199,3.0,5,75,0,0,12,0,350,7,"הצפון הישן דירה של 3 חדרים,כ - 75 מטר בניין חדש !! סלון עם מטבח פתוח. חדרי שינה עם מזגנים. קומה גבוה בניין איוכתית. בניין עם מעלית. כניסה מידית.",0,0,1,1,0,0,0,1,0,1,9200.0,9,2811.0,https://www.ad.co.il/ad/13771670
דירה,הצפון הישן החלק הצפוני,סוקולוב 33,3.0,1,85,0,0,12,0,290,5,"הצפון הישן דירה של 3 חדרים,כ - 85 מטר מסודרת מוארת מקסימה ואיכותית. סלון עם פינת אוכל \ פלוס פינת עבודה. חדרים שינה עם מזגנים,עם ארון קיר. מטבח נטו עם יציאה למרפסת שרות. מוארת שלושה כוון אויר חניה פרטית,ומעלית כניסה: 1.8.21",1,0,1,1,0,1,0,1,0,0,7900.0,4,2681.0,https://www.ad.co.il/ad/12207586
